epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0184,1.20628,3.74239,1.4127,0.76573,0.20084,0.23708,0.15455,1.12218,3.83291,1.55458,0.000150236,0.000150236,0.000150236
2,68.1479,1.14643,2.41832,1.33244,0.44124,0.39337,0.29654,0.20249,1.20981,3.45494,1.64866,0.000301829,0.000301829,0.000301829
3,101.137,1.1141,1.96777,1.27626,0.36592,0.53393,0.32895,0.22141,1.18722,2.96158,1.57724,0.000453126,0.000453126,0.000453126
4,135.184,1.07449,1.79623,1.25518,0.50212,0.51547,0.41434,0.28076,1.08709,2.73125,1.51305,0.000454,0.000454,0.000454
5,169.657,1.05858,1.66824,1.23529,0.46319,0.56369,0.46135,0.32138,1.0757,2.46374,1.46273,0.000453224,0.000453224,0.000453224
6,204.243,1.0439,1.52626,1.23544,0.5115,0.60636,0.4902,0.33756,1.14288,2.16632,1.64492,0.000452227,0.000452227,0.000452227
7,240.754,1.0337,1.37767,1.20664,0.55211,0.62783,0.57106,0.39136,1.11758,2.0161,1.50157,0.000451011,0.000451011,0.000451011
8,279.612,1.00186,1.29083,1.20039,0.74424,0.55911,0.69361,0.47052,1.10097,1.79816,1.46918,0.000449576,0.000449576,0.000449576
9,319.946,1.01338,1.24627,1.20396,0.79183,0.65301,0.72564,0.48733,1.08566,1.62817,1.51505,0.000447924,0.000447924,0.000447924
10,363.294,0.9767,1.15063,1.1774,0.6537,0.75546,0.72248,0.48567,1.10205,1.6169,1.47694,0.000446057,0.000446057,0.000446057
11,409.563,0.95022,1.08699,1.1577,0.74442,0.71939,0.76685,0.53482,1.10955,1.46127,1.53203,0.000443977,0.000443977,0.000443977
12,457.325,0.96457,1.04855,1.17563,0.80549,0.7177,0.78165,0.55455,1.05979,1.42121,1.43176,0.000441685,0.000441685,0.000441685
13,509.415,0.95633,1.04413,1.16189,0.83545,0.72737,0.77475,0.54621,1.07394,1.30482,1.42887,0.000439184,0.000439184,0.000439184
14,566.918,0.97201,1.02743,1.17325,0.84899,0.8104,0.87292,0.57813,1.08069,1.25058,1.46007,0.000436476,0.000436476,0.000436476
15,628.334,0.94191,0.95161,1.14736,0.83316,0.81009,0.86422,0.60634,1.04782,1.20007,1.43657,0.000433565,0.000433565,0.000433565
16,688.074,0.92039,0.92316,1.13315,0.79591,0.77832,0.88887,0.61456,1.05115,1.23601,1.42965,0.000430452,0.000430452,0.000430452
