epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3069,1.23425,3.04799,1.41921,0.70912,0.63866,0.71329,0.45821,1.36049,3.01316,1.73145,0.000299777,0.000299777,0.000299777
2,60.2449,1.20505,1.90762,1.34241,0.6931,0.68262,0.73285,0.49784,1.38408,2.61811,1.73891,0.000602629,0.000602629,0.000602629
3,88.8915,1.22555,1.7281,1.3711,0.66838,0.55929,0.65275,0.43616,1.62556,2.76093,2.22621,0.000904892,0.000904892,0.000904892
4,117.707,1.21232,1.5715,1.3511,0.69719,0.79053,0.77996,0.54404,1.28362,1.83074,1.64266,0.000907003,0.000907003,0.000907003
5,146.053,1.17445,1.38617,1.32857,0.77524,0.78172,0.8051,0.56267,1.28197,1.66291,1.64049,0.000905452,0.000905452,0.000905452
6,174.442,1.1313,1.19976,1.29268,0.84203,0.80504,0.8333,0.59799,1.22418,1.28481,1.64384,0.00090346,0.00090346,0.00090346
7,204.889,1.13027,1.12334,1.2978,0.82188,0.80537,0.82947,0.58216,1.22116,1.22507,1.60118,0.00090103,0.00090103,0.00090103
8,236.564,1.09996,1.04646,1.2768,0.8231,0.80414,0.82699,0.58296,1.21546,1.13246,1.5938,0.000898164,0.000898164,0.000898164
9,268.885,1.08715,0.97814,1.26432,0.76936,0.83436,0.8266,0.60547,1.14218,1.15713,1.54746,0.000894864,0.000894864,0.000894864
10,300.728,1.08175,0.9509,1.26386,0.79553,0.83047,0.84212,0.62026,1.14009,0.96829,1.50051,0.000891134,0.000891134,0.000891134
11,332.185,1.05185,0.88437,1.24076,0.82055,0.82327,0.83051,0.60063,1.21264,1.07794,1.58728,0.000886978,0.000886978,0.000886978
12,363.466,1.07191,0.90388,1.25396,0.88919,0.82636,0.84767,0.61951,1.18274,0.94668,1.55798,0.000882399,0.000882399,0.000882399
